Player,POS,Team,Age,GP,W,L,Min,PTS,OREB,DREB,REB,AST,TD3,+/-
Romeo Langford,SG,SAS,23,43,14,29,844.3,297,57,57,114,50,0,-180
Vlatko Cancar,SF,DEN,26,60,38,22,889,297,24,104,128,80,0,-66
Theo Maledon,PG,CHA,21,44,14,30,853.7,295,14,109,123,152,0,-147
Matisse Thybulle,SG,POR,26,71,38,33,1200.4,293,40,100,140,53,0,-14
Rudy Gay,SF,UTA,36,56,29,27,815.6,293,33,130,163,57,0,57
Jeremiah Robinson-Earl,PF,OKC,22,43,16,27,813.7,292,71,109,180,43,0,-10
Ben Simmons,PG,BKN,26,42,24,18,1105,291,40,223,263,256,1,40
Kris Dunn,G,UTA,29,22,8,14,567.5,290,9,91,100,124,0,-62
Jaylin Williams,F,OKC,20,49,23,26,914.2,288,44,197,241,76,0,-90
Robert Covington,PF,LAC,32,48,20,28,778.6,288,31,135,166,57,0,-7
Paul Reed,SF,PHI,23,69,44,25,755.2,287,112,150,262,27,0,-17
Jae'Sean Tate,SF,HOU,27,31,7,24,677.5,283,41,77,118,84,0,-94
Robert Williams III,C,BOS,25,35,24,11,823.5,279,104,188,292,50,0,173
Eugene Omoruyi,F,DET,26,40,10,30,645.3,278,43,68,111,28,0,-41
Zeke Nnaji,PF,DEN,22,53,34,19,727.8,277,65,73,138,18,0,-97
Aleksej Pokusevski,F,OKC,21,34,16,18,701.3,276,45,114,159,64,0,-196
Payton Pritchard,PG,BOS,25,48,32,16,642.8,270,25,63,88,64,1,12
Danuel House Jr.,SF,PHI,29,56,38,18,807,268,9,85,94,44,0,-16
Duncan Robinson,F,MIA,29,42,19,23,690.5,268,8,61,69,46,0,-56
MarJon Beauchamp,F,MIL,22,52,34,18,701.4,266,38,77,115,35,0,-99
P.J. Tucker,PF,PHI,37,75,48,27,1920.1,266,95,200,295,60,0,135
Bismack Biyombo,C,PHX,30,61,33,28,874.1,263,89,171,260,56,0,48
Sandro Mamukelashvili,PF,SAS,23,43,23,20,659.7,263,70,115,185,62,0,-114
JT Thor,F,CHA,20,69,22,47,968.8,262,36,116,152,36,0,-163
Willy Hernangomez,C,NOP,28,38,23,15,457.7,262,58,122,180,33,0,19
Luke Kornet,C,BOS,27,69,45,24,804.1,261,86,111,197,53,0,61
Garrison Mathews,SG,ATL,26,54,16,38,686.3,257,11,62,73,26,0,-87
Austin Rivers,SG,MIN,30,52,25,27,1016.3,255,5,78,83,75,0,-142
Ish Wainright,F,PHX,28,60,33,27,915.1,251,45,94,139,53,0,92
Aaron Holiday,G,ATL,26,63,32,31,845.3,247,25,49,74,89,0,17
Bryce McGowens,G,CHA,20,46,16,30,787,246,20,73,93,54,0,-150
Malachi Flynn,PG,TOR,24,53,29,24,690.8,246,15,61,76,70,0,-40
Patty Mills,PG,BKN,34,40,18,22,566.6,246,8,36,44,56,0,-66
Duane Washington Jr.,PG,NYK,23,31,17,14,393.8,244,2,34,36,63,0,-6
Thaddeus Young,PF,TOR,34,54,23,31,795.5,240,71,95,166,75,0,-92
Cade Cunningham,PG,DET,21,12,3,9,400.2,239,12,62,74,72,0,-60
Haywood Highsmith,F,MIA,26,54,28,26,969.4,236,57,131,188,43,0,-103
Jaxson Hayes,C,NOP,22,47,22,25,610.1,233,39,93,132,34,0,-70
George Hill,PG,IND,36,46,27,19,833.3,232,15,70,85,110,0,41
Day'Ron Sharpe,C,BKN,21,48,22,26,552.5,227,99,101,200,37,0,-101
Dyson Daniels,G,NOP,20,59,33,26,1042.1,227,36,152,188,134,0,-7
Daishen Nix,SG,HOU,21,57,15,42,914.4,226,18,80,98,132,0,-151
Usman Garuba,PF,HOU,21,75,21,54,970.2,225,120,187,307,64,0,-253
Darius Bazley,PF,PHX,22,43,19,24,616.2,224,34,104,138,38,0,-70
Miles McBride,PG,NYK,22,64,36,28,760.2,222,13,37,50,72,0,53
Svi Mykhailiuk,SG,CHA,25,32,16,16,467.9,222,15,38,53,53,0,20
Maxi Kleber,PF,DAL,31,37,18,19,929.8,220,30,105,135,52,0,-43
Jabari Walker,F,POR,20,56,21,35,619.2,216,48,83,131,34,0,-115
Lindy Waters III,F,OKC,25,41,20,21,530.8,214,16,59,75,28,0,136
Ziaire Williams,F,MEM,21,37,21,16,560.8,210,16,63,79,35,0,-76
Davis Bertans,SF,DAL,30,45,20,25,491.8,206,10,43,53,21,0,-37
Dean Wade,PF,CLE,26,44,30,14,891.6,206,20,130,150,37,0,108
Justin Holiday,SF,DAL,34,46,18,28,706.1,205,5,50,55,41,0,-129
Charles Bassey,C,SAS,22,35,9,26,507.9,199,75,118,193,48,0,-32
DeAndre Jordan,C,DEN,34,39,23,16,585.9,199,52,150,202,34,0,-119
Dewayne Dedmon,C,PHI,33,38,23,15,426.2,199,34,100,134,26,0,-124
Justise Winslow,PF,POR,27,29,15,14,775.8,196,49,96,145,98,0,-38
Anthony Gill,PF,WAS,30,59,21,38,624.6,195,37,62,99,34,0,-12
Caleb Houstan,G,ORL,20,51,20,31,812.2,193,34,65,99,30,0,-84
Ousmane Dieng,F,OKC,19,39,20,19,568.7,193,19,86,105,46,0,39
James Bouknight,SG,CHA,22,34,9,25,515.5,191,8,64,72,41,0,-97
Keon Johnson,SG,POR,21,40,13,27,416.4,189,11,33,44,59,0,-153
JaVale McGee,C,DAL,35,42,20,22,354.5,186,30,77,107,11,0,-57
Blake Wesley,G,SAS,20,37,9,28,669.1,184,12,70,82,98,0,-198
Rodney McGruder,G,DET,31,32,4,28,523.9,183,20,54,74,28,0,-44
Christian Koloko,C,TOR,22,58,29,29,801.8,182,84,87,171,31,0,156
Luka Garza,C,MIN,24,28,15,13,243.4,181,33,30,63,18,0,18
Wesley Matthews,SG,MIL,36,52,37,15,820.4,179,34,79,113,34,0,53
Jericho Sims,C,NYK,24,52,31,21,812.4,178,99,143,242,25,0,-113
Stanley Johnson,SF,SAS,26,30,5,25,469.5,174,22,73,95,67,0,-92
Amir Coffey,SG,LAC,25,50,26,24,625.3,172,17,36,53,53,0,-114
Isaiah Roby,F,NYK,25,42,9,33,473.6,172,21,87,108,38,0,-110
Ricky Rubio,PG,CLE,32,33,23,10,566,171,9,61,70,115,0,45
Blake Griffin,PF,BOS,34,41,27,14,568.9,170,47,108,155,61,0,105
Taj Gibson,F,WAS,37,49,21,28,480.4,168,32,61,93,34,0,-4
Goga Bitadze,C,ORL,23,38,13,25,456.8,167,61,76,137,39,0,26
Evan Fournier,SG,NYK,30,27,15,12,458.7,165,4,45,49,36,0,-54
Javonte Green,SF,CHI,29,32,13,19,480.3,165,27,61,88,23,0,48
Julian Champagnie,F,SAS,21,17,7,10,320.1,165,10,50,60,10,0,-74
Johnny Davis,G,WAS,21,28,10,18,422.6,163,10,55,65,28,0,-54
Jordan McLaughlin,PG,MIN,27,43,22,21,678.5,161,15,47,62,148,0,84
Kai Jones,PF,CHA,22,46,13,33,549.6,157,37,86,123,15,0,-32
Raul Neto,PG,CLE,30,48,31,17,505.2,157,10,36,46,79,0,11
Admiral Schofield,SF,ORL,26,37,14,23,451.3,155,23,39,62,31,0,-79
Juan Toscano-Anderson,SF,UTA,30,52,19,33,700.1,155,28,96,124,65,0,-147
Moses Brown,C,BKN,23,36,17,19,294.1,155,57,82,139,4,0,27
AJ Green,G,MIL,23,35,27,8,344.9,154,6,39,45,22,0,-26
Bruno Fernando,PF,ATL,24,39,13,26,405.1,153,54,83,137,31,0,-75
Derrick Rose,PG,NYK,34,27,12,15,337.9,152,8,32,40,46,0,-29
Saben Lee,G,PHX,23,25,15,10,373.5,151,13,32,45,67,0,-30
TyTy Washington Jr.,G,HOU,21,31,6,25,432.7,145,2,43,45,47,0,-47
Brandon Boston Jr.,SG,LAC,21,22,9,13,248.3,143,7,23,30,20,0,-44
Dalano Banton,PG,TOR,23,31,17,14,278.5,142,11,34,45,36,0,-34
Damian Jones,C,UTA,27,41,12,29,477.4,142,42,80,122,15,0,-83
Kevon Harris,G,ORL,25,34,12,22,457,141,28,42,70,16,0,0
Furkan Korkmaz,SG,PHI,25,37,24,13,353.5,140,6,36,42,22,0,2
Nathan Knight,F,MIN,25,38,19,19,290.7,139,22,34,56,13,0,-9
Frank Ntilikina,PG,DAL,24,47,20,27,607.6,135,7,55,62,58,0,35
Markieff Morris,PF,DAL,33,35,17,18,355.1,132,13,58,71,31,0,10
Richaun Holmes,F,SAC,29,42,22,20,347.6,130,29,51,80,9,0,-69
Chuma Okeke,PF,ORL,24,27,8,19,518,128,26,70,96,37,0,-118
Max Christie,G,LAL,20,41,19,22,512.4,128,7,68,75,21,0,-77
Udoka Azubuike,C,UTA,23,36,17,19,358.5,125,31,88,119,11,0,-83
Jae Crowder,PF,MIL,32,18,13,5,339.7,124,17,52,69,27,0,0
Juancho Hernangomez,PF,TOR,27,42,20,22,613.5,122,27,96,123,25,0,13
Matt Ryan,F,MIN,26,34,15,19,310.2,122,4,22,26,16,0,21
Patrick Baldwin Jr.,F,GSW,20,31,15,16,225.8,122,1,39,40,11,0,-51
Gorgui Dieng,C,SAS,33,31,3,28,358.1,121,27,80,107,53,0,-152
Kenneth Lofton Jr.,F,MEM,20,24,15,9,176,120,19,32,51,20,0,-48
Orlando Robinson,C,MIA,22,31,18,13,425.1,116,48,78,126,25,0,27
Kira Lewis Jr.,PG,NOP,22,25,11,14,234.8,114,5,28,33,23,0,62
McKinley Wright IV,PG,DAL,24,27,14,13,335,114,9,38,47,58,0,-110
Robin Lopez,C,CLE,35,37,25,12,298.5,112,23,28,51,19,0,-58
